房子名称,房子地址,房子价格
一附院旁单位房，精装两房，有院卫拎包住,东湖区,14965
双育新单价1万出头二七北路，全天日照，精装3房首付50,东湖区,9940
青山南路，通透三房，拎包入住，中间楼层，看房方便,东湖区,11284
马家池社区 3室2厅 103万,东湖区,12937
永外正街电力局宿舍有院卫便停车，首付40享全天太阳,东湖区,13874
江西省广电局文教路生活住宅区 2室1厅 59万,东湖区,9498
育新路 育新小 育新中 中间楼层 小户型总价低随时看房,东湖区,20368
南北通品格局好 有院子门卫 地铁口 八一公园 诚售,东湖区,13818
离地铁近  适合刚需 楼层低 适宜各人群居住,东湖区,10289
一附院边，交通方便，有院子门卫，全天太阳,东湖区,11142
房子装修精装刚需房得房率高户型方正采光好物业好,东湖区,13592
江西省财政厅住宅小区 2室2厅 105万,东湖区,14053
光 线 充 足 视 野 宽 阔 交 通 设 备 便 利,东湖区,13567
滨江社区，成熟配套，交通便利。,东湖区,14032
环湖路单位房 有院子门卫 户型端正 采光好,东湖区,14227
马家池社区 3室2厅 139万,东湖区,13110
叠山路 马家池  精装三房 全天太阳 户型端正,东湖区,12183
腾王阁社区（石厂街） 2室1厅 67.8万,东湖区,15431
江中花园 3室2厅 120万,东湖区,12193
八一公园旁中间楼层 三室两厅精装修,东湖区,13542
樟树林 化纤厂宿舍 小两房 总价低 阳光充足 精装修,东湖区,10827
得房率高，户型方正，商圈繁华，地理位置优越交通便利,东湖区,16024
业主诚心出售，精装修客人直接入住。,东湖区,10187
右营街社区 2室1厅 78.8万,东湖区,13058
八一公园旁，配套成熟，交通便利。,东湖区,10961
恒茂城市花园 2室2厅 138万,东湖区,13135
育新路，通透两房，教育资源丰富，阳光充沛,东湖区,14260
杨家厂小区 2室1厅 88万,东湖区,13602
小区管理严谨 干净整洁 全明户型 户型通透 客厅连阳台,东湖区,14524
君悦青山湖 精装三房 全天太阳 洪都北大道 李家庄旁,东湖区,18712
青山路二 三号线双地 铁口出门购物广场 阳光直射客厅,东湖区,10085
好楼层的雅居户型 出门就是右营街小,东湖区,11491
地铁一号线旁 步行街旁 后墙路 楼层好 陪读佳。,东湖区,13684
力高澜湖国际  毛坯房 中间楼层  采光充足,东湖区,17104
赣江之滨  聆江花园 毛坯三房 实用户型 看房随时,东湖区,13211
一线弧形江景 全天阳光 视野好 无挡,东湖区,15501
贤士二路195号 3室2厅 111万,东湖区,11372
户型端正，可拎包入住，楼层好太阳充足,东湖区,10072
建德观精装三房地段繁华交通方便生活便捷地铁三号线,东湖区,13424
青山湖畔 江中花园 精装三房 环境优美,东湖区,11747
2~3号线地铁口南北通透全天太阳三房蓝天碧水永外正街,东湖区,11831
三钟邮筱精致小三房适合居住二楼入出方便有停车场,东湖区,12999
东湖区一纬路精装三房。三面通风,东湖区,11865
二七北路单位宿舍，精致三房，楼层好，太阳好，,东湖区,14000
电力局单位宿舍 地铁口 环境优美 有门卫有院子,东湖区,12099
诚售滕王阁下凤凰坡低总价地铁有小初教育空户精装带租,东湖区,15620
苏圃路 2室1厅 60万,东湖区,11436
胜利路 高档社区 品质住宅 精致装修 拎包入住 诚心卖,东湖区,12597
福州路 电梯住宅 物管规范 单价不过万 近人民公园,东湖区,9161
光 线 充 足 视 野 宽 阔 交 通 设 备 便 利,东湖区,11986
爱国路单位房，实际面积大，环境好，全天太阳,东湖区,17034
婚房精装2房，太阳好，采光足，拎包入住,东湖区,13065
建德观138号3楼房东诚心出售。,东湖区,11577
隆兴小区2房南装修清爽拎包入住，看房随时诚心出售,东湖区,12906
八一桥商圈，配套成熟，交通便利。,东湖区,9903
户型方正 通透性好 出入方便 房东诚心出售,东湖区,15733
配套齐全，精装修，朝南的户型。,东湖区,12174
贤士二路 人民政府二大院 精装3房 附带面积 带家具,东湖区,12135
贤士湖大四房诚心出售，价格美丽。看房方便。。,东湖区,9308
阳明路  电梯房   出版大厦看江景,东湖区,12356
青山湖旁 精装两房 视野好 新力物业 小区环境好,东湖区,12997
房东诚心出售，楼层好，光线不错,东湖区,16693
滨江首府 2室1厅 140万,东湖区,15813
房东诚售精致3房2厅、房东诚售！,东湖区,12864
位于老城，配套完善，户型精致，宜居价格便宜,东湖区,10032
此房在，紫金城店旁红原星城小区。,东湖区,11479
正规两房.出入方便.房东城售生活配套齐全,东湖区,16984
音乐花园 5室2厅 216万,东湖区,12011
胜利路旁两房朝南精致正规两房坐北朝南,东湖区,9898
人民政府二大院 2室2厅 88万,东湖区,12279
师大后门旁  地段好，小两房 全天阳光 业主诚心出售,东湖区,8298
二七北路，育新旁精装两房，拎包入住，有院子可停车,东湖区,11056
户型端正 正规二房  间间有窗  全天太阳,东湖区,15860
石厂街 满五年 房东诚售 结构好 近地铁,东湖区,12886
此房满五唯一，格局不错，楼层好，视野宽阔，采光充足,东湖区,13386
房东诚心出售，配套齐全，交通方便,东湖区,19162
房东诚心出售，房屋采光良好，户型南北相通。,东湖区,11740
紫金城 3房2厅 指标都在 采光好 等钱用,东湖区,13200
东湖区政府旁 龙泉湾 精装大四房 诚心出售,东湖区,16660
人民政府二大院好房，两室两厅，房东承受,东湖区,11492
俯瞰赣江 水天一色江景房 方正户型 安心物业,东湖区,17438
东湖区洪都北大道 军悦青山湖旁 精装三房 总价低,东湖区,14481
北京西路，育新旁，实际面积大，有太阳，地段好,东湖区,11211
东湖区 碧水华庭旁 精装四房 视野好 可看赣江,东湖区,11500
东湖区 锦苑春天旁 结婚精装南北通风三房带车位,东湖区,21488
棕帽巷 2室2厅 90万,东湖区,11207
东湖区紫金城旁龙泉湾精装修带100平大露台和地下车位,东湖区,16693
福辉大厦 4室2厅 318万,东湖区,15240
青山南路 地铁口 公安厅宿舍 两房朝南 端正户型 诚售,东湖区,12027
双育新 福州路 三房朝南 全天太阳 交通便利,东湖区,10382
业主诚心出售，房子阳关充足光线明亮，看房方便。,东湖区,13812
爱国路51号 4室2厅 200万,东湖区,13576
花园角街八一公园旁三房看房方便配套齐全,东湖区,12582
小区环境好，房子阳光充足，出行方便，有电梯。,东湖区,16020
青山南路 2室1厅 86万,东湖区,11301
拎包入住，精装修，干净整洁，清爽舒适,东湖区,12146
民德路 2室1厅 98万,东湖区,14658
实际面积大众观整个青山湖，地铁3号线，香思林公园,东湖区,14747
东湖区阳明东路隆兴小区精装复式,东湖区,11066
八一大道口 高档住宅 豪精装4房 双地铁口,东湖区,22284
杨家厂标准三房，楼层好，光线好，地跌近,东湖区,13517
大士院三区 2室1厅 120万,东湖区,10381
人行宿舍，大4房，有小，初教育，地铁口,东湖区,12385
金阳光大厦（南京西路298号277号） 3室2厅 156万,东湖区,11011
竑鼎福第 2室2厅 150万,东湖区,16012
马家池社区简装好房直接拎包入住户型通透采光充足,东湖区,11500
力高澜湖国际 小3房 户型端正 楼盘新 小区环境好,东湖区,17961
青山南路江南都市花园首付50万享全天太阳，精装2房,东湖区,15239
大士院住宅四区 1室1厅 33万,东湖区,8525
力高澜湖国际 李家庄旁 青山湖畔 3房2厅2卫,东湖区,17365
